user,knob,windows,span_days,changes,changes_per_6mo,median_abs_delta,path,net,path_over_net,material,after_deadband,after_deadband_per_6mo,window,step,lag_days
A,aggression,21,161,0,0.0,0.0,0.0,0.0,,0,0,0.0,21,7,14.0
A,hypoCaution,21,161,0,0.0,0.0,0.0,0.0,,0,0,0.0,21,7,14.0
A,confirmedCap,21,161,4,4.534161490683229,2.95,11.8,0.0,,2,4,4.534161490683229,21,7,14.0
A,committedCap,21,161,15,17.003105590062113,0.020000000000000018,0.6999999999999995,0.07999999999999985,8.75000000000001,3,3,3.4006211180124226,21,7,14.0
A,cumulative60,21,161,10,11.335403726708075,0.3000000000000007,13.000000000000005,0.20000000000000107,64.99999999999969,2,4,4.534161490683229,21,7,14.0
A,primerCap,21,161,15,17.003105590062113,0.010000000000000009,0.38000000000000006,0.08000000000000002,4.75,1,1,1.1335403726708073,21,7,14.0
B,aggression,18,140,6,7.821428571428571,0.07999999999999996,0.6000000000000001,0.0,,6,6,7.821428571428571,21,7,14.0
B,hypoCaution,18,140,10,13.035714285714285,0.10000000000000009,2.2,0.0,,2,4,5.214285714285714,21,7,14.0
B,confirmedCap,18,140,14,18.25,0.25,6.93,0.4700000000000002,14.744680851063823,3,3,3.9107142857142856,21,7,14.0
B,committedCap,18,140,13,16.946428571428573,0.039999999999999813,0.9100000000000004,0.07000000000000006,12.999999999999993,7,6,7.821428571428571,21,7,14.0
B,cumulative60,18,140,14,18.25,0.39999999999999947,7.899999999999996,0.2999999999999998,26.333333333333336,2,3,3.9107142857142856,21,7,14.0
B,primerCap,18,140,14,18.25,0.03999999999999998,1.1199999999999997,0.0,,5,4,5.214285714285714,21,7,14.0
C,aggression,12,98,6,11.173469387755102,0.07999999999999996,0.45999999999999996,0.0,,5,6,11.173469387755102,21,7,14.0
C,hypoCaution,12,98,8,14.897959183673468,0.19999999999999996,2.0999999999999996,0.30000000000000004,6.999999999999998,2,7,13.035714285714285,21,7,14.0
C,confirmedCap,12,98,7,13.035714285714285,0.9199999999999999,5.86,3.6399999999999997,1.6098901098901102,0,5,9.311224489795919,21,7,14.0
C,committedCap,12,98,10,18.622448979591837,0.04500000000000004,0.44000000000000017,0.040000000000000036,10.999999999999995,0,2,3.724489795918367,21,7,14.0
C,cumulative60,12,98,10,18.622448979591837,0.49999999999999956,6.299999999999998,3.500000000000001,1.799999999999999,0,4,7.448979591836734,21,7,14.0
C,primerCap,12,98,9,16.760204081632654,0.019999999999999962,0.41000000000000003,0.010000000000000009,40.999999999999964,2,2,3.724489795918367,21,7,14.0
D,aggression,8,140,1,1.3035714285714286,0.07000000000000006,0.07000000000000006,0.07000000000000006,1.0,0,1,1.3035714285714286,21,7,14.0
D,hypoCaution,8,140,3,3.9107142857142856,0.30000000000000004,0.8999999999999999,0.5,1.7999999999999998,1,3,3.9107142857142856,21,7,14.0
D,confirmedCap,8,140,1,1.3035714285714286,0.5,0.5,0.5,1.0,0,1,1.3035714285714286,21,7,14.0
D,committedCap,8,140,5,6.517857142857142,0.020000000000000018,0.4999999999999998,0.26,1.9230769230769222,2,2,2.607142857142857,21,7,14.0
D,cumulative60,8,140,4,5.214285714285714,0.1499999999999999,0.5999999999999996,0.0,,0,0,0.0,21,7,14.0
D,primerCap,8,140,3,3.9107142857142856,0.08999999999999997,0.31999999999999995,0.26,1.2307692307692306,3,2,2.607142857142857,21,7,14.0
E,aggression,21,161,0,0.0,0.0,0.0,0.0,,0,0,0.0,21,7,14.0
E,hypoCaution,21,161,0,0.0,0.0,0.0,0.0,,0,0,0.0,21,7,14.0
E,confirmedCap,21,161,20,22.67080745341615,0.125,2.5999999999999988,0.45999999999999996,5.652173913043476,3,0,0.0,21,7,14.0
E,committedCap,21,161,17,19.27018633540373,0.020000000000000018,0.5,0.21999999999999997,2.272727272727273,5,1,1.1335403726708073,21,7,14.0
E,cumulative60,21,161,14,15.869565217391305,0.1499999999999999,2.7,0.8999999999999995,3.0000000000000018,2,0,0.0,21,7,14.0
E,primerCap,21,161,15,17.003105590062113,0.010000000000000009,0.25,0.10999999999999999,2.272727272727273,2,0,0.0,21,7,14.0
F,aggression,21,161,4,4.534161490683229,0.07999999999999996,0.31999999999999984,0.0,,4,4,4.534161490683229,21,7,14.0
F,hypoCaution,21,161,2,2.2670807453416146,0.10000000000000009,0.20000000000000018,0.0,,0,0,0.0,21,7,14.0
